timestep,decision,prb_decision,policy_decision
382,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
383,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
384,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
385,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
386,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
387,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
388,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
389,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
390,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
391,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
392,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
393,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
394,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
395,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
396,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
397,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
398,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
399,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
400,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
401,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
402,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
403,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
404,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
405,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
406,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
407,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
408,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
409,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
410,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
411,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
412,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
413,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
414,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
415,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
416,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
417,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
418,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
419,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
420,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
421,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
422,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
423,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
424,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
425,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
426,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
427,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
428,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
429,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
430,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
431,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
432,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
433,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
434,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
435,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
436,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
437,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
438,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
439,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
440,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
441,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
442,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
443,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
444,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
445,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
446,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
447,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
448,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
449,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
450,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
451,"(18, 9, 23, 2, 0, 2)","[18, 9, 23]","[2, 0, 2]"
452,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
453,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
454,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
455,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
456,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
457,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
458,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
459,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
460,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
461,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
462,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
463,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
464,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
465,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
466,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
467,"(30, 9, 11, 1, 2, 0)","[30, 9, 11]","[1, 2, 0]"
468,"(6, 9, 35, 1, 1, 0)","[6, 9, 35]","[1, 1, 0]"
469,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
470,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
471,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
472,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
473,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
474,"(6, 9, 35, 1, 1, 1)","[6, 9, 35]","[1, 1, 1]"
475,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
476,"(18, 9, 23, 0, 1, 0)","[18, 9, 23]","[0, 1, 0]"
477,"(18, 15, 17, 2, 1, 1)","[18, 15, 17]","[2, 1, 1]"
