timestep,group,group_members,MSEUr,DTUr,sched_members,sched_members_complete,decision,reward
3646,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[], [4]]","[[2, 5], [0, 1, 3, 4, 6]]","const(G1, Q1, 0)",0.618
3647,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[0, 2, 5, 6], [1, 3]]","[[0, 2, 4, 5, 6], [1, 3]]","inc(G0, Q3, 75)",0.652
3647,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[4], []]","[[0, 2, 4, 5, 6], [1, 3]]","inc(G1, Q1, 100)",0.652
3648,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[0, 1, 3, 6], [2, 5]]","[[0, 1, 3, 4, 6], [2, 5]]","const(G0, Q3, 75)",0.656
3648,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[4], []]","[[0, 1, 3, 4, 6], [2, 5]]","const(G1, Q1, 100)",0.656
3649,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[3, 5], [0, 1, 2, 6]]","[[3, 4, 5], [0, 1, 2, 6]]","dec(G0, Q2, 25)",0.584
3649,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[4], []]","[[3, 4, 5], [0, 1, 2, 6]]","const(G1, Q1, 100)",0.584
3650,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[0, 6], [1, 2, 3, 5]]","[[0, 4, 6], [1, 2, 3, 5]]","const(G0, Q2, 25)",0.587
3650,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[4], []]","[[0, 4, 6], [1, 2, 3, 5]]","const(G1, Q1, 100)",0.587
3651,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[3, 6], [0, 1, 2, 5]]","[[3, 4, 6], [0, 1, 2, 5]]","const(G0, Q2, 25)",0.582
3651,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[4], []]","[[3, 4, 6], [0, 1, 2, 5]]","const(G1, Q1, 100)",0.582
3652,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[1, 2, 3, 5], [0, 6]]","[[1, 2, 3, 5], [0, 4, 6]]","inc(G0, Q3, 75)",0.773
3652,1,[4],"dec(MSEUr, Q1)","const(DTUr, Q4)","[[], [4]]","[[1, 2, 3, 5], [0, 4, 6]]","dec(G1, Q1, 0)",0.773
3653,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[0, 1], [2, 3, 5, 6]]","[[0, 1, 4], [2, 3, 5, 6]]","dec(G0, Q2, 25)",0.589
3653,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[4], []]","[[0, 1, 4], [2, 3, 5, 6]]","inc(G1, Q1, 100)",0.589
3654,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[0, 1, 6], [2, 3, 5]]","[[0, 1, 4, 6], [2, 3, 5]]","inc(G0, Q2, 50)",0.622
3654,1,[4],"const(MSEUr, Q1)","const(DTUr, Q4)","[[4], []]","[[0, 1, 4, 6], [2, 3, 5]]","const(G1, Q1, 100)",0.622
3655,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr, Q1)","const(DTUr, Q4)","[[0, 1, 5, 6], [2, 3]]","[[0, 1, 4, 5, 6], [2, 3]]","inc(G0, Q3, 75)",0.656
