timestep,decision,prb_decision,policy_decision
283,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
284,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
285,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
286,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
287,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
288,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
289,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
290,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
291,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
292,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
293,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
294,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
295,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
296,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
297,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
298,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
299,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
300,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
301,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
302,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
303,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
304,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
305,"(36, 3, 11, 1, 2, 2)","[36, 3, 11]","[1, 2, 2]"
